df_hash,22ZHK4.3NGMYT
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.VVA5
person_label,V18
date_time_start,2025-05-23_10-26-57.429000_+03
date_time_start_unix,1747985217.429
date_time_end,2025-05-23_10-35-12.468000_+03
length_difference_noticed,no

time,acc_mag
51.079,1.007
51.109,1.009
51.139,1.000
51.169,0.999
51.199,1.005
51.229,1.002
51.259,1.002
51.289,1.001
51.319,1.002
51.349,0.999
51.379,1.003
51.409,1.003
51.439,1.004
51.469,1.000
51.499,1.000
51.529,1.012
51.559,0.995
51.589,1.008
51.619,1.006
51.649,1.000
51.679,1.001
51.709,1.009
51.739,1.005
51.769,1.005
51.799,1.008
51.829,0.995
51.859,1.000
51.889,1.007
51.919,1.002
51.949,1.009
51.979,1.006
52.009,1.002
52.039,1.001
52.069,1.005
52.099,1.000
52.129,1.003
52.159,1.005
52.189,1.005
52.219,1.002
52.249,0.998
52.279,1.008
52.309,1.014
52.339,1.000
52.369,1.002
52.399,0.998
52.429,1.000
52.459,1.011
52.489,0.991
52.519,0.997
52.549,0.977
52.579,0.983
52.609,0.997
52.639,1.010
52.669,1.017
52.699,1.022
52.729,1.001
52.759,1.006
52.789,1.012
52.819,1.001
52.849,0.998
52.879,0.998
52.909,0.996
52.939,1.000
52.969,1.002
52.999,1.002
53.029,1.005
53.059,0.997
53.089,0.998
53.119,0.999
53.149,0.988
53.179,0.994
53.209,0.989
53.239,0.994
53.269,1.016
53.299,0.993
53.329,1.009
53.359,0.998
53.389,0.989
53.419,0.992
53.449,1.000
53.479,1.003
53.509,1.005
53.539,0.998
53.569,1.009
53.599,1.002
53.629,1.012
53.659,1.007
53.689,0.993
53.719,1.000
53.749,0.997
53.779,0.996
53.809,0.985
53.839,0.986
53.869,0.989
53.899,0.997
53.929,1.004
53.959,1.006
53.989,1.021
54.019,1.016
54.049,1.020
54.079,1.026
54.109,1.021
