df_hash,22ZHK4.E50QS1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2ES5
person_label,v130
date_time_start,2026-04-07_17-55-40.586000_+03
date_time_start_unix,1775566540.586
date_time_end,2026-04-07_18-04-27.744000_+03
length_difference_noticed,no

time,acc_mag
32.629,1.070
32.659,1.077
32.689,1.081
32.719,1.073
32.749,1.069
32.779,1.069
32.809,1.077
32.839,1.086
32.869,1.081
32.899,1.074
32.929,1.075
32.959,1.074
32.989,1.076
33.019,1.077
33.049,1.075
33.079,1.079
33.109,1.078
33.139,1.079
33.169,1.073
33.199,1.071
33.229,1.071
33.259,1.075
33.289,1.076
33.319,1.079
33.349,1.073
33.379,1.073
33.409,1.079
33.439,1.076
33.469,1.071
33.499,1.076
33.529,1.076
33.559,1.073
33.589,1.075
33.619,1.077
33.649,1.081
33.679,1.077
33.709,1.073
33.739,1.071
33.769,1.073
33.799,1.076
33.829,1.078
33.859,1.075
33.889,1.073
33.919,1.076
33.949,1.077
33.979,1.074
34.009,1.075
34.039,1.079
34.069,1.075
34.099,1.072
34.129,1.075
34.159,1.078
34.189,1.073
34.219,1.077
34.249,1.073
34.279,1.074
34.309,1.080
34.339,1.074
34.369,1.073
34.399,1.082
34.429,1.076
34.459,1.074
34.489,1.072
34.519,1.074
34.549,1.077
34.579,1.078
34.609,1.079
34.639,1.072
34.669,1.073
34.699,1.076
34.729,1.082
34.759,1.080
34.789,1.075
34.819,1.075
34.849,1.073
34.879,1.076
34.909,1.075
34.939,1.075
34.969,1.076
34.999,1.076
35.029,1.078
35.059,1.065
35.089,1.079
35.119,1.077
35.149,1.076
35.179,1.071
35.209,1.075
35.239,1.066
35.269,1.080
35.299,1.075
35.329,1.076
35.359,1.076
35.389,1.071
35.419,1.074
35.449,1.077
35.479,1.074
35.509,1.072
35.539,1.079
35.569,1.076
35.599,1.072
35.629,1.074
35.659,1.079
35.689,1.071
35.719,1.079
35.749,1.077
35.779,1.073
35.809,1.077
35.839,1.078
35.869,1.078
35.899,1.073
35.929,1.073
35.959,1.077
35.989,1.076
36.019,1.078
36.049,1.077
36.079,1.072
36.109,1.072
36.139,1.077
36.169,1.074
36.199,1.076
36.229,1.076
36.259,1.078
36.289,1.075
36.319,1.077
36.349,1.074
36.379,1.072
36.409,1.074
36.439,1.076
36.469,1.078
36.499,1.078
36.529,1.076
36.559,1.078
36.589,1.075
36.619,1.070
36.649,1.073
36.679,1.080
36.709,1.080
36.739,1.075
36.769,1.072
