df_hash,22ZHK4.M833G2
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3VJX
person_label,V59
date_time_start,2025-10-31_15-29-03.527000_+03
date_time_start_unix,1761910143.527
date_time_end,2025-10-31_15-37-19.121000_+03
length_difference_noticed,no

time,acc_mag
61.933,1.043
61.963,1.047
61.993,1.044
62.023,1.049
62.053,1.054
62.083,1.047
62.113,1.042
62.143,1.047
62.173,1.042
62.203,1.055
62.233,1.050
62.263,1.049
62.293,1.049
62.323,1.049
62.353,1.050
62.383,1.054
62.413,1.052
62.443,1.045
62.473,1.050
62.503,1.050
62.533,1.045
62.563,1.053
62.593,1.047
62.623,1.044
62.653,1.044
62.683,1.056
62.713,1.058
62.743,1.051
62.773,1.053
62.803,1.047
62.833,1.042
62.863,1.038
62.893,1.054
62.923,1.062
62.953,1.051
62.983,1.049
63.013,1.042
63.043,1.046
63.073,1.054
63.103,1.053
63.133,1.047
63.163,1.048
63.193,1.041
63.223,1.049
63.253,1.056
63.283,1.045
63.313,1.048
63.343,1.055
63.373,1.053
63.403,1.050
63.433,1.046
63.463,1.053
63.493,1.052
63.523,1.047
63.553,1.045
63.583,1.050
63.613,1.050
63.643,1.047
63.673,1.056
63.703,1.050
63.733,1.042
63.763,1.054
63.793,1.050
63.823,1.052
63.853,1.050
63.883,1.050
63.913,1.048
63.943,1.046
63.973,1.046
64.003,1.053
64.033,1.054
64.063,1.056
64.093,1.058
64.123,1.046
64.153,1.050
64.183,1.060
64.213,1.060
64.243,1.061
64.273,1.057
64.303,1.052
64.333,1.043
64.363,1.040
64.393,1.049
64.423,1.047
64.453,1.041
64.483,1.042
64.513,1.043
64.543,1.048
64.573,1.047
64.603,1.050
64.633,1.052
64.663,1.053
64.693,1.058
64.723,1.050
64.753,1.025
64.783,1.034
64.813,1.044
64.843,1.066
64.873,1.059
64.903,1.023
64.933,1.055
64.963,1.041
64.993,1.036
65.023,1.044
65.053,1.057
65.083,1.056
65.113,1.050
65.143,1.052
65.173,1.070
65.203,1.052
65.233,1.035
65.263,1.044
65.293,1.041
65.323,1.040
65.353,1.059
65.383,1.060
65.413,1.050
65.443,1.049
65.473,1.057
65.503,1.046
65.533,1.038
65.563,1.043
65.593,1.050
65.623,1.049
65.653,1.053
65.683,1.058
65.713,1.058
65.743,1.046
65.773,1.043
65.803,1.046
65.833,1.047
65.863,1.054
65.893,1.049
65.923,1.053
65.953,1.055
65.983,1.051
66.013,1.046
66.043,1.045
66.073,1.046
66.103,1.062
66.133,1.052
66.163,1.044
66.193,1.050
66.223,1.050
66.253,1.048
66.283,1.046
66.313,1.054
66.343,1.049
66.373,1.040
66.403,1.051
66.433,1.032
66.463,1.063
66.493,1.063
66.523,1.042
66.553,1.045
66.583,1.051
66.613,1.049
66.643,1.044
66.673,1.052
66.703,1.064
66.733,1.052
66.763,1.050
66.793,1.050
66.823,1.054
66.853,1.051
66.883,1.046
66.913,1.046
66.943,1.059
66.973,1.050
67.003,1.045
67.033,1.048
67.063,1.044
67.093,1.044
67.123,1.047
67.153,1.052
67.183,1.056
67.213,1.040
67.243,1.042
67.273,1.040
67.303,1.043
67.333,1.050
67.363,1.048
67.393,1.049
67.423,1.054
67.453,1.048
67.483,1.052
67.513,1.049
67.543,1.049
67.573,1.054
67.603,1.054
67.633,1.048
67.663,1.049
67.693,1.051
67.723,1.053
67.753,1.053
67.783,1.050
67.813,1.050
67.843,1.056
67.873,1.051
67.903,1.054
67.933,1.060
67.963,1.046
67.993,1.044
68.023,1.053
68.053,1.052
68.083,1.053
68.113,1.052
68.143,1.047
68.173,1.046
68.203,1.052
68.233,1.053
68.263,1.057
68.293,1.058
68.323,1.050
68.353,1.048
68.383,1.054
68.413,1.053
68.443,1.053
68.473,1.059
68.503,1.047
68.533,1.047
68.563,1.058
68.593,1.057
68.623,1.051
68.653,1.051
68.683,1.048
68.713,1.048
68.743,1.052
68.773,1.051
68.803,1.056
68.833,1.053
68.863,1.053
68.893,1.047
68.923,1.049
68.953,1.057
68.983,1.055
69.013,1.050
69.043,1.055
69.073,1.046
69.103,1.050
69.133,1.056
69.163,1.050
69.193,1.056
69.223,1.057
69.253,1.049
69.283,1.052
69.313,1.045
69.343,1.050
69.373,1.053
69.403,1.052
69.433,1.053
69.463,1.051
69.493,1.051
69.523,1.049
69.553,1.049
69.583,1.056
69.613,1.052
69.643,1.039
69.673,1.052
69.703,1.054
69.733,1.053
69.763,1.059
69.793,1.054
69.823,1.045
69.853,1.048
69.883,1.052
69.913,1.054
69.943,1.053
69.973,1.057
70.003,1.052
70.033,1.054
70.063,1.047
70.093,1.052
70.123,1.054
70.153,1.057
70.183,1.056
70.213,1.049
70.243,1.053
70.273,1.055
70.303,1.053
70.333,1.055
70.363,1.050
70.393,1.047
70.423,1.053
70.453,1.053
70.483,1.053
70.513,1.051
70.543,1.052
70.573,1.054
70.603,1.048
70.633,1.052
70.663,1.058
70.693,1.050
70.723,1.054
70.753,1.052
70.783,1.044
70.813,1.051
70.843,1.051
70.873,1.052
70.903,1.054
70.933,1.052
70.963,1.050
70.993,1.053
71.023,1.051
71.053,1.052
71.083,1.051
71.113,1.052
71.143,1.054
71.173,1.052
71.203,1.054
71.233,1.059
71.263,1.053
71.293,1.051
71.323,1.052
71.353,1.047
71.383,1.056
71.413,1.055
71.443,1.051
71.473,1.058
71.503,1.051
71.533,1.051
71.563,1.052
71.593,1.050
71.623,1.054
71.653,1.051
71.683,1.049
71.713,1.056
71.743,1.054
71.773,1.055
71.803,1.050
71.833,1.051
71.863,1.048
71.893,1.047
71.923,1.050
71.953,1.057
71.983,1.053
72.013,1.048
72.043,1.055
72.073,1.053
72.103,1.048
72.133,1.048
72.163,1.053
72.193,1.054
72.223,1.055
72.253,1.053
72.283,1.050
72.313,1.050
72.343,1.051
72.373,1.054
72.403,1.053
72.433,1.053
72.463,1.052
72.493,1.047
72.523,1.059
72.553,1.054
72.583,1.050
72.613,1.056
72.643,1.054
72.673,1.052
72.703,1.054
72.733,1.055
72.763,1.055
72.793,1.050
72.823,1.053
72.853,1.049
72.883,1.050
72.913,1.056
72.943,1.055
72.973,1.055
73.003,1.052
73.033,1.050
73.063,1.045
73.093,1.053
73.123,1.053
73.153,1.054
73.183,1.061
73.213,1.047
73.243,1.051
73.273,1.054
73.303,1.058
73.333,1.055
73.363,1.049
73.393,1.048
73.423,1.050
73.453,1.053
73.483,1.054
73.513,1.052
73.543,1.049
73.573,1.057
73.603,1.059
73.633,1.049
73.663,1.054
73.693,1.053
73.723,1.052
73.753,1.056
73.783,1.054
73.813,1.049
73.843,1.048
73.873,1.049
73.903,1.056
73.933,1.057
73.963,1.052
73.993,1.051
74.023,1.052
74.053,1.049
74.083,1.046
74.113,1.060
74.143,1.062
74.173,1.052
74.203,1.048
74.233,1.056
74.263,1.050
74.293,1.051
74.323,1.054
74.353,1.050
74.383,1.055
74.413,1.061
74.443,1.054
74.473,1.062
74.503,1.051
