df_hash,22ZHK4.QGNKHU
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.M000
person_label,V84
date_time_start,2025-11-03_17-16-01.922000_+03
date_time_start_unix,1762175761.922
date_time_end,2025-11-03_17-24-49.400000_+03
length_difference_noticed,no

time,acc_mag
42.878,0.993
42.908,0.991
42.938,0.992
42.968,0.991
42.998,0.998
43.028,0.992
43.058,0.986
43.088,0.987
43.118,0.994
43.148,0.996
43.178,0.990
43.208,0.989
43.238,0.998
43.268,0.988
43.298,0.991
43.328,0.985
43.358,0.988
43.388,0.990
43.418,0.990
43.448,0.991
43.478,0.991
43.508,0.989
43.538,0.995
43.568,0.991
43.598,0.993
43.628,0.992
43.658,0.983
43.688,0.991
43.718,0.986
43.748,0.986
43.778,0.982
43.808,0.997
43.838,0.994
43.868,0.998
43.898,1.002
43.928,1.001
43.958,0.990
43.988,0.991
44.018,0.994
44.048,0.993
44.078,0.993
44.108,0.990
44.138,0.991
44.168,0.994
44.198,0.989
44.228,0.992
44.258,0.991
44.288,0.986
44.318,0.990
44.348,0.990
44.378,0.999
44.408,0.991
44.438,0.987
44.468,0.995
44.498,0.987
44.528,0.992
44.558,0.990
44.588,0.987
44.618,0.997
44.648,0.992
44.678,0.990
44.708,0.996
44.738,0.989
44.768,0.990
44.798,0.991
44.828,0.993
44.858,0.996
44.888,0.982
44.918,0.987
44.948,0.993
44.978,1.001
45.008,0.994
45.038,0.988
45.068,0.987
45.098,0.995
45.128,0.988
45.158,0.989
45.188,0.992
45.218,0.992
45.248,0.990
45.278,0.987
45.308,0.990
45.338,0.992
45.368,0.994
45.398,0.989
45.428,0.994
45.458,0.997
45.488,0.995
45.518,0.987
45.548,0.993
45.578,0.990
45.608,0.997
45.638,0.994
45.668,0.991
45.698,0.996
45.728,0.993
45.758,0.987
45.788,0.987
45.818,0.991
45.848,0.991
45.878,0.992
45.908,0.988
45.938,0.982
45.968,0.989
45.998,0.990
46.028,0.993
46.058,0.989
46.088,0.995
46.118,0.998
46.148,0.987
46.178,0.990
46.208,0.991
46.238,0.999
46.268,0.991
46.298,0.990
46.328,0.992
46.358,0.988
46.388,0.992
46.418,0.990
46.448,0.991
46.478,0.991
46.508,0.994
46.538,0.990
46.568,0.987
46.598,0.989
46.628,0.994
46.658,0.986
46.688,0.989
46.718,0.994
46.748,0.993
46.778,0.988
46.808,0.984
46.838,0.991
46.868,0.987
46.898,1.001
46.928,0.991
46.958,0.990
46.988,0.991
47.018,0.990
47.048,0.989
47.078,0.993
47.108,0.986
47.138,0.990
47.168,0.989
47.198,0.990
47.228,0.991
47.258,0.990
47.288,0.992
47.318,0.990
47.348,0.989
47.378,0.987
47.408,0.986
47.438,0.989
47.468,0.998
47.498,0.993
47.528,0.993
47.558,0.988
47.588,1.000
47.618,0.991
47.648,0.990
47.678,0.992
