df_hash,22ZHK4.3RS3P8
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.CV3S
person_label,v119
date_time_start,2026-03-10_17-43-05.648000_+03
date_time_start_unix,1773150185.648
date_time_end,2026-03-10_17-53-26.485000_+03
length_difference_noticed,no

time,acc_mag
48.684,1.003
48.714,1.000
48.744,0.995
48.774,1.007
48.804,1.007
48.834,1.001
48.864,0.991
48.894,0.984
48.924,0.987
48.954,0.990
48.984,0.994
49.014,1.000
49.044,0.990
49.074,1.012
49.104,1.006
49.134,1.010
49.164,1.002
49.194,1.007
49.224,1.001
49.254,0.959
49.284,1.009
49.314,0.989
49.344,0.963
49.374,0.997
49.404,0.982
49.434,0.971
49.464,0.990
49.494,0.976
49.524,0.972
49.554,0.980
49.584,0.990
49.614,0.994
49.644,0.988
49.674,0.990
49.704,0.986
49.734,0.975
49.764,0.979
49.794,0.971
49.824,0.979
49.854,0.986
49.884,0.998
49.914,1.002
49.944,1.002
49.974,0.998
50.004,0.992
50.034,0.985
50.064,0.976
50.094,0.976
50.124,0.978
50.154,0.983
50.184,0.981
50.214,0.983
50.244,0.984
50.274,0.984
50.304,0.985
50.334,0.987
50.364,0.979
50.394,0.981
50.424,0.979
50.454,0.981
50.484,0.985
50.514,0.987
50.544,0.986
50.574,0.993
50.604,0.984
50.634,0.974
50.664,0.963
50.694,0.954
50.724,0.953
50.754,0.961
50.784,0.959
50.814,0.958
50.844,0.978
50.874,0.975
50.904,0.971
50.934,0.992
50.964,0.980
50.994,0.979
51.024,0.992
51.054,0.979
51.084,0.974
51.114,0.977
51.144,0.984
51.174,0.990
51.204,0.995
51.234,1.000
51.264,0.988
51.294,0.986
51.324,0.985
51.354,0.977
51.384,0.976
51.414,0.986
51.444,0.981
51.474,0.982
51.504,0.978
51.534,0.975
51.564,0.977
51.594,0.979
51.624,0.981
51.654,0.981
51.684,0.982
51.714,0.979
51.744,0.974
51.774,0.975
51.804,0.978
51.834,0.972
51.864,0.975
51.894,0.983
51.924,0.986
51.954,0.979
51.984,0.979
52.014,0.977
52.044,0.975
52.074,0.979
52.104,0.972
52.134,0.972
52.164,0.976
52.194,0.972
52.224,0.973
52.254,0.979
52.284,0.983
52.314,0.983
52.344,0.980
52.374,0.986
52.404,0.984
52.434,0.982
52.464,0.979
52.494,0.975
52.524,0.977
52.554,0.983
52.584,0.980
52.614,0.983
52.644,0.987
52.674,0.979
52.704,0.971
52.734,0.971
52.764,0.971
52.794,0.978
52.824,0.985
52.854,0.987
52.884,0.978
52.914,0.982
52.944,0.990
52.974,0.989
53.004,0.982
53.034,0.984
53.064,0.980
53.094,0.979
53.124,0.974
53.154,0.979
53.184,0.980
53.214,0.981
53.244,0.979
53.274,0.982
53.304,0.984
53.334,0.980
53.364,0.981
53.394,0.978
53.424,0.973
53.454,0.982
53.484,0.983
53.514,0.980
53.544,0.977
53.574,0.982
53.604,0.980
53.634,0.986
53.664,0.983
53.694,0.979
53.724,0.983
53.754,0.976
53.784,0.977
53.814,0.979
53.844,0.982
53.874,0.984
53.904,0.981
53.934,0.981
53.964,0.976
53.994,0.973
54.024,0.978
54.054,0.980
54.084,0.981
54.114,0.979
54.144,0.979
54.174,0.984
54.204,0.985
54.234,0.979
54.264,0.977
54.294,0.978
