df_hash,22ZHK4.KA6GFR
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.L5GC
person_label,V154
date_time_start,2026-06-08_19-14-06.709000_+03
date_time_start_unix,1780928046.709
date_time_end,2026-06-08_19-27-56.057000_+03
length_difference_noticed,no

time,acc_mag
48.465,1.021
48.495,1.020
48.525,1.010
48.555,1.005
48.585,1.015
48.615,1.016
48.645,1.010
48.675,1.003
48.705,1.009
48.735,1.016
48.765,1.016
48.795,1.012
48.825,1.006
48.855,1.007
48.885,1.012
48.915,1.013
48.945,1.012
48.975,1.013
49.005,1.015
49.035,1.018
49.065,1.010
49.095,1.012
49.125,1.006
49.155,1.017
49.185,1.017
49.215,1.013
49.245,1.008
49.275,1.011
49.305,1.021
49.335,1.012
49.365,1.005
49.395,1.005
49.425,1.009
49.455,1.017
49.485,1.020
49.515,1.014
49.545,1.010
49.575,1.005
49.605,1.016
49.635,1.017
49.665,1.017
49.695,1.005
49.725,1.007
49.755,1.011
49.785,1.015
49.815,1.014
49.845,1.010
49.875,1.008
49.905,1.006
49.935,1.017
49.965,1.013
49.995,1.005
50.025,1.017
50.055,1.021
50.085,1.015
50.115,1.007
50.145,1.006
50.175,1.010
50.205,1.007
50.235,1.013
50.265,1.020
50.295,1.016
50.325,1.009
50.355,1.005
50.385,1.011
50.415,1.013
50.445,1.013
50.475,1.010
50.505,1.006
50.535,1.014
50.565,1.023
50.595,1.015
50.625,1.006
50.655,1.005
50.685,1.012
50.715,1.013
50.745,1.017
50.775,1.017
50.805,1.020
50.835,1.012
50.865,1.011
50.895,1.009
50.925,1.008
50.955,1.010
50.985,1.016
51.015,1.018
51.045,1.013
51.075,1.009
51.105,1.011
51.135,1.009
51.165,1.017
51.195,1.023
51.225,1.020
51.255,1.008
51.285,1.011
51.315,1.010
51.345,1.011
51.375,1.010
51.405,1.014
51.435,1.016
51.465,1.011
51.495,1.010
51.525,1.012
51.555,1.016
51.585,1.014
51.615,1.012
51.645,1.011
51.675,1.008
51.705,1.011
51.735,1.009
51.765,1.009
51.795,1.020
51.825,1.016
51.855,1.013
51.885,1.013
51.915,1.012
51.945,1.011
51.975,1.010
52.005,1.008
52.035,1.012
52.065,1.014
52.095,1.016
52.125,1.011
52.155,1.014
52.185,1.013
52.215,1.010
52.245,1.009
52.275,1.010
52.305,1.015
52.335,1.011
52.365,1.012
52.395,1.012
52.425,1.013
52.455,1.013
52.485,1.014
52.515,1.016
52.545,1.016
52.575,1.011
52.605,1.007
52.635,1.008
52.665,1.010
52.695,1.009
52.725,1.016
52.755,1.017
52.785,1.018
52.815,1.015
52.845,1.012
52.875,1.014
52.905,1.016
52.935,1.017
52.965,1.009
52.995,1.007
53.025,1.015
53.055,1.014
53.085,1.011
53.115,1.008
53.145,1.009
53.175,1.014
53.205,1.016
53.235,1.008
53.265,1.006
53.295,1.015
53.325,1.018
53.355,1.015
53.385,1.013
53.415,1.012
53.445,1.011
53.475,1.011
53.505,1.011
53.535,1.008
53.565,1.007
53.595,1.008
53.625,1.007
53.655,1.017
53.685,1.025
53.715,1.016
53.745,1.011
53.775,1.015
53.805,1.013
53.835,1.005
53.865,1.005
